,ID,E_Brent,NE_C1,M1_C1,M2_C1,SW_C1,costo_gel,reg_f,BE_F
0,0.0,20.0,0.0,0.0,0.0,0.0,3.0,0.0,20.0
1,1.0,20.0,0.0,0.0,0.0,1.0,3.0,0.0,9.190541924635724
2,2.0,20.0,0.0,0.0,1.0,0.0,3.0,0.0,8.303891311080575
3,3.0,20.0,0.0,0.0,1.0,1.0,3.0,0.0,8.427110993786718
4,4.0,20.0,0.0,1.0,0.0,0.0,3.0,0.0,11.220955283398265
5,5.0,20.0,0.0,1.0,0.0,1.0,3.0,0.0,10.884951944281493
6,6.0,20.0,0.0,1.0,1.0,0.0,3.0,0.0,9.61622640825377
7,7.0,20.0,0.0,1.0,1.0,1.0,3.0,0.0,9.581169933042256
8,8.0,20.0,1.0,0.0,0.0,0.0,3.0,0.0,8.303890438896842
9,9.0,20.0,1.0,0.0,0.0,1.0,3.0,0.0,8.593151424984997
10,10.0,20.0,1.0,0.0,1.0,0.0,3.0,0.0,8.303890981840055
11,11.0,20.0,1.0,0.0,1.0,1.0,3.0,0.0,8.399632121178486
12,12.0,20.0,1.0,1.0,0.0,0.0,3.0,0.0,10.376328672365279
13,13.0,20.0,1.0,1.0,0.0,1.0,3.0,0.0,10.229739323411556
14,14.0,20.0,1.0,1.0,1.0,0.0,3.0,0.0,9.41284742044869
15,15.0,20.0,1.0,1.0,1.0,1.0,3.0,0.0,9.397082099541148
16,16.0,20.0,0.0,0.0,0.0,0.0,4.2,0.0,20.0
17,17.0,20.0,0.0,0.0,0.0,1.0,4.2,0.0,9.450347066124031
18,18.0,20.0,0.0,0.0,1.0,0.0,4.2,0.0,8.555493170331761
19,19.0,20.0,0.0,0.0,1.0,1.0,4.2,0.0,8.67985347963356
20,20.0,20.0,0.0,1.0,0.0,0.0,4.2,0.0,11.631610835223297
21,21.0,20.0,0.0,1.0,0.0,1.0,4.2,0.0,11.270728233435564
22,22.0,20.0,0.0,1.0,1.0,0.0,4.2,0.0,9.939383761752781
23,23.0,20.0,0.0,1.0,1.0,1.0,4.2,0.0,9.899156645390889
24,24.0,20.0,1.0,0.0,0.0,0.0,4.2,0.0,8.555493170311113
25,25.0,20.0,1.0,0.0,0.0,1.0,4.2,0.0,8.847430010993168
26,26.0,20.0,1.0,0.0,1.0,0.0,4.2,0.0,8.555493075603724
27,27.0,20.0,1.0,0.0,1.0,1.0,4.2,0.0,8.652120022299343
28,28.0,20.0,1.0,1.0,0.0,0.0,4.2,0.0,10.74093091671832
29,29.0,20.0,1.0,1.0,0.0,1.0,4.2,0.0,10.581444881312807
30,30.0,20.0,1.0,1.0,1.0,0.0,4.2,0.0,9.72491575306944
31,31.0,20.0,1.0,1.0,1.0,1.0,4.2,0.0,9.705499431069347
32,32.0,20.0,0.0,0.0,0.0,0.0,5.4,0.0,20.0
33,33.0,20.0,0.0,0.0,0.0,1.0,5.4,0.0,9.710153358359973
34,34.0,20.0,0.0,0.0,1.0,0.0,5.4,0.0,8.807095002568829
35,35.0,20.0,0.0,0.0,1.0,1.0,5.4,0.0,8.932595543628645
36,36.0,20.0,0.0,1.0,0.0,0.0,5.4,0.0,12.04226582538409
37,37.0,20.0,0.0,1.0,0.0,1.0,5.4,0.0,11.65650459247825
38,38.0,20.0,0.0,1.0,1.0,0.0,5.4,0.0,10.262541258710993
39,39.0,20.0,0.0,1.0,1.0,1.0,5.4,0.0,10.21714311004466
40,40.0,20.0,1.0,0.0,0.0,0.0,5.4,0.0,8.807094130361593
41,41.0,20.0,1.0,0.0,0.0,1.0,5.4,0.0,9.101709529982818
42,42.0,20.0,1.0,0.0,1.0,0.0,5.4,0.0,8.807094784543413
43,43.0,20.0,1.0,0.0,1.0,1.0,5.4,0.0,8.904608119394805
44,44.0,20.0,1.0,1.0,0.0,0.0,5.4,0.0,11.105532756209112
45,45.0,20.0,1.0,1.0,0.0,1.0,5.4,0.0,10.933150104175414
46,46.0,20.0,1.0,1.0,1.0,0.0,5.4,0.0,10.03698386395769
47,47.0,20.0,1.0,1.0,1.0,1.0,5.4,0.0,10.013916606702889
48,48.0,20.0,0.0,0.0,0.0,0.0,3.0,1.0,20.0
49,49.0,20.0,0.0,0.0,0.0,1.0,3.0,1.0,9.934621625520114
50,50.0,20.0,0.0,0.0,1.0,0.0,3.0,1.0,8.998428949364662
51,51.0,20.0,0.0,0.0,1.0,1.0,3.0,1.0,9.128005780510438
52,52.0,20.0,0.0,1.0,0.0,0.0,3.0,1.0,12.33723807018904
53,53.0,20.0,0.0,1.0,0.0,1.0,3.0,1.0,11.941351183329866
54,54.0,20.0,0.0,1.0,1.0,0.0,3.0,1.0,10.500500212680167
55,55.0,20.0,0.0,1.0,1.0,1.0,3.0,1.0,10.454188194411307
56,56.0,20.0,1.0,0.0,0.0,0.0,3.0,1.0,8.998428949334867
57,57.0,20.0,1.0,0.0,0.0,1.0,3.0,1.0,9.302882246054757
58,58.0,20.0,1.0,0.0,1.0,0.0,3.0,1.0,8.998429024649452
