,ID,E_Brent,NE_C1,NE_C2,NE_C3,NE_C4,NE_C5,M1_C1,M2_C1,M2_C2,B44_C1,B44_C2,SW_C1,reg_f,Oil,Gas_Prod,Gross_Fluid,Water_Injected,Producer_Well,Water_Injection_Well,total_opex,Perforacion,Facilidades,Abandono,total_capex,VPN_Total,volumen_T_LE_p
0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
1,1,55,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5407.0628,8156.17,1679.13,3358.26,18600.6228,8230,2652.688,158.1,11040.788,19514.1668,2060.6515444567426
2,2,55,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1151.257,0,8084.7,0,9235.957,13710,3528.6683,263.5,17502.1683,13236.4845,1498.8933877230056
3,3,55,0,0,0,0,0,0,0,0,1,0,1,0,0,0,6558.3197,8156.17,9763.83,3358.26,27836.5797,21940,6181.3563,421.6,28542.9563,32534.2232,3552.294873190939
4,4,55,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1985.5285,3170.8497,8084.7,0,13241.0782,14630,4087.1054,263.5,18980.6054,16078.4882,1825.923739816918
5,5,55,0,0,0,0,0,0,0,0,0,1,1,0,0,0,7392.5913,11327.0197,9763.83,3358.26,31841.701,22860,6739.7934,421.6,30021.3934,35397.3757,3892.9431588010325
6,6,55,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1716.9275,3617.0148,0,1679.13,7013.0722,4100,849.1307,52.7,5001.8307,7466.2387,558.5817245943973
7,7,55,0,0,0,0,0,0,1,0,0,0,1,0,0,0,7123.9902,11773.1848,1679.13,5037.39,25613.695,12330,3501.8187,210.8,16042.6187,26784.0433,2618.7925400986946
8,8,55,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2868.1844,3617.0148,8084.7,1679.13,16249.0292,17810,4377.799,316.2,22503.999,20584.8804,2049.841282920397
9,9,55,0,0,0,0,0,0,1,0,1,0,1,0,0,0,8275.2472,11773.1848,9763.83,5037.39,34849.652,26040,7030.487,474.3,33544.787,39823.4597,4128.9577103777565
10,10,55,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3702.456,6787.8645,8084.7,1679.13,20254.1505,18730,4936.2361,316.2,23982.4361,23408.2507,2371.9205566097944
11,11,55,0,0,0,0,0,0,1,0,0,1,1,0,0,0,9109.5187,14944.0345,9763.83,5037.39,38854.7732,26960,7588.9241,474.3,35023.2241,42700.0777,4444.240193725974
12,12,55,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2467.0876,4650.4476,1679.13,0,8796.6652,3500,1345.7686,52.7,4898.4686,5436.7189,468.204883292293
