,ID,E_Brent,NE_C1,M1_C1,M2_C1,SW_C1,costo_gel,reg_f,VPN_Basica_porta,VPN_incremental_porta,VPN_Basica,VPN_incremental,VPN_Total,EFI_INCREMENTAL,capex,opex_basica,opex_incremental,volumen_B_LE,volumen_I_LE,volumen_T_LE,volumen_B_LE_p,volumen_I_LE_p,volumen_T_LE_p,LE_year_p,LE_year_b,lc_p,lc_b,dc_p,dc_b,opex_ing_p,capex_ing_p,impuesto_ing_p,ingreso_ing_p,abandono_ing_p,opex_ing_b,capex_ing_b,impuesto_ing_b,ingreso_ing_b,abandono_ing_b
0,0,25,0,0,0,0,3,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2022.0,2022.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,30,0,0,0,0,3,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2022.0,2022.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,35,0,0,0,0,3,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2022.0,2022.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,40,0,0,0,0,3,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2022.0,2022.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,45,0,0,0,0,3,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2022.0,2022.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,50,0,0,0,0,3,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2022.0,2022.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,55,0,0,0,0,3,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2022.0,2022.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7,60,0,0,0,0,3,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2022.0,2022.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8,25,0,0,0,1,3,0,0,755.1864,0,292.5569,292.5569,3.5697817235717837,249.8238,0,12.6635,0.0,0.06407053019416667,0.06407053019416667,0.0,0.06407053019416667,0.06407053019416667,2056.0,2056.0,0.18,0.18,1.7936,1.7936,5.1723,119.0988,330.5169,1209.9744,0,5.1723,119.0988,132.2471,549.0751,0
9,9,30,0,0,0,1,3,0,0,755.1864,0,385.0828,385.0828,4.680536818432155,249.8238,0,12.6635,0.0,0.06407053019416667,0.06407053019416667,0.0,0.06407053019416667,0.06407053019416667,2056.0,2056.0,0.18,0.18,1.7936,1.7936,5.1723,119.0988,330.5169,1209.9744,0,5.1723,119.0988,171.9011,681.255,0
10,10,35,0,0,0,1,3,0,0,755.1864,0,477.6087,477.6087,5.7912919132925245,249.8238,0,12.6635,0.0,0.06407053019416667,0.06407053019416667,0.0,0.06407053019416667,0.06407053019416667,2056.0,2056.0,0.18,0.18,1.7936,1.7936,5.1723,119.0988,330.5169,1209.9744,0,5.1723,119.0988,211.555,813.4348,0
11,11,40,0,0,0,1,3,0,0,755.1864,0,570.1346,570.1346,6.9020470081528975,249.8238,0,12.6635,0.0,0.06407053019416667,0.06407053019416667,0.0,0.06407053019416667,0.06407053019416667,2056.0,2056.0,0.18,0.18,1.7936,1.7936,5.1723,119.0988,330.5169,1209.9744,0,5.1723,119.0988,251.209,945.6147,0
12,12,45,0,0,0,1,3,0,0,755.1864,0,662.6605,662.6605,8.01280210301327,249.8238,0,12.6635,0.0,0.06407053019416667,0.06407053019416667,0.0,0.06407053019416667,0.06407053019416667,2056.0,2056.0,0.18,0.18,1.7936,1.7936,5.1723,119.0988,330.5169,1209.9744,0,5.1723,119.0988,290.8629,1077.7945,0
13,13,50,0,0,0,1,3,0,0,755.1864,0,755.1864,755.1864,9.123557197873641,249.8238,0,12.6635,0.0,0.06407053019416667,0.06407053019416667,0.0,0.06407053019416667,0.06407053019416667,2056.0,2056.0,0.18,0.18,1.7936,1.7936,5.1723,119.0988,330.5169,1209.9744,0,5.1723,119.0988,330.5169,1209.9744,0
14,14,55,0,0,0,1,3,0,0,755.1864,0,847.7123,847.7123,10.234312292734009,249.8238,0,12.6635,0.0,0.06407053019416667,0.06407053019416667,0.0,0.06407053019416667,0.06407053019416667,2056.0,2056.0,0.18,0.18,1.7936,1.7936,5.1723,119.0988,330.5169,1209.9744,0,5.1723,119.0988,370.1709,1342.1543,0
15,15,60,0,0,0,1,3,0,0,755.1864,0,940.2382,940.2382,11.345067387594383,249.8238,0,12.6635,0.0,0.06407053019416667,0.06407053019416667,0.0,0.06407053019416667,0.06407053019416667,2056.0,2056.0,0.18,0.18,1.7936,1.7936,5.1723,119.0988,330.5169,1209.9744,0,5.1723,119.0988,409.8248,1474.3341,0
16,16,25,0,0,1,0,3,0,0,4761.6408,0,1914.2366,1914.2366,3.88226180773332,1498.943,0,75.9812,0.0,0.39695871968124996,0.39695871968124996,0.0,0.39695871968124996,0.39695871968124996,2056.0,2056.0,0.18,0.18,1.7936,1.7936,31.0335,714.5931,2081.8967,7589.1641,0,31.0335,714.5931,861.5806,3521.4438,0
17,17,30,0,0,1,0,3,0,0,4761.6408,0,2487.4949,2487.4949,5.027633016069879,1498.943,0,75.9812,0.0,0.39695871968124996,0.39695871968124996,0.0,0.39695871968124996,0.39695871968124996,2056.0,2056.0,0.18,0.18,1.7936,1.7936,31.0335,714.5931,2081.8967,7589.1641,0,31.0335,714.5931,1107.2627,4340.3842,0
18,18,35,0,0,1,0,3,0,0,4761.6408,0,3060.7532,3060.7532,6.17300422440644,1498.943,0,75.9812,0.0,0.39695871968124996,0.39695871968124996,0.0,0.39695871968124996,0.39695871968124996,2056.0,2056.0,0.18,0.18,1.7936,1.7936,31.0335,714.5931,2081.8967,7589.1641,0,31.0335,714.5931,1352.9449,5159.3246,0
19,19,40,0,0,1,0,3,0,0,4761.6408,0,3634.0115,3634.0115,7.318375432743002,1498.943,0,75.9812,0.0,0.39695871968124996,0.39695871968124996,0.0,0.39695871968124996,0.39695871968124996,2056.0,2056.0,0.18,0.18,1.7936,1.7936,31.0335,714.5931,2081.8967,7589.1641,0,31.0335,714.5931,1598.627,5978.265,0
20,20,45,0,0,1,0,3,0,0,4761.6408,0,4207.2697,4207.2697,8.46374664107956,1498.943,0,75.9812,0.0,0.39695871968124996,0.39695871968124996,0.0,0.39695871968124996,0.39695871968124996,2056.0,2056.0,0.18,0.18,1.7936,1.7936,31.0335,714.5931,2081.8967,7589.1641,0,31.0335,714.5931,1844.3091,6797.2054,0
21,21,50,0,0,1,0,3,0,0,4761.6408,0,4780.528,4780.528,9.60911784941612,1498.943,0,75.9812,0.0,0.39695871968124996,0.39695871968124996,0.0,0.39695871968124996,0.39695871968124996,2056.0,2056.0,0.18,0.18,1.7936,1.7936,31.0335,714.5931,2081.8967,7589.1641,0,31.0335,714.5931,2089.9912,7616.1458,0
22,22,55,0,0,1,0,3,0,0,4761.6408,0,5353.7863,5353.7863,10.754489057752679,1498.943,0,75.9812,0.0,0.39695871968124996,0.39695871968124996,0.0,0.39695871968124996,0.39695871968124996,2056.0,2056.0,0.18,0.18,1.7936,1.7936,31.0335,714.5931,2081.8967,7589.1641,0,31.0335,714.5931,2335.6733,8435.0863,0
23,23,60,0,0,1,0,3,0,0,4761.6408,0,5927.0446,5927.0446,11.89986026608924,1498.943,0,75.9812,0.0,0.39695871968124996,0.39695871968124996,0.0,0.39695871968124996,0.39695871968124996,2056.0,2056.0,0.18,0.18,1.7936,1.7936,31.0335,714.5931,2081.8967,7589.1641,0,31.0335,714.5931,2581.3555,9254.0267,0
24,24,25,0,0,1,1,3,0,0,5516.8272,0,2206.7935,2206.7935,3.8376753209045154,1748.7669,0,88.6447,0.0,0.4610292498754166,0.4610292498754166,0.0,0.4610292498754166,0.4610292498754166,2056.0,2056.0,0.18,0.18,1.7936,1.7936,36.2058,833.6919,2412.4136,8799.1385,0,36.2058,833.6919,993.8277,4070.5189,0
25,25,30,0,0,1,1,3,0,0,5516.8272,0,2872.5777,2872.5777,4.978107299620372,1748.7669,0,88.6447,0.0,0.4610292498754166,0.4610292498754166,0.0,0.4610292498754166,0.4610292498754166,2056.0,2056.0,0.18,0.18,1.7936,1.7936,36.2058,833.6919,2412.4136,8799.1385,0,36.2058,833.6919,1279.1638,5021.6392,0
